1.0;SG;2016-F-SG-01-PLAN DE MANTENIMIENTO;2016;N.A;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
2.0;SG;2016-F-SG-02-PLAN CONTROL DE PLAGAS;2016;N.A;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
3.0;SG;2016-F-SG-03-SOLICITUD DE MANTENIMIENTO CORRECTIVO;2016;N.A;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
4.0;SG;2016-F-SG-04-PLANILLA DE ACTIVIDADES DE MANTENIMIENTO;2016;N.A;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
5.0;SG;2016-F-SG-05-HOJA DE VIDA DE EQUIPOS;2016;2 AÑOS;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
6.0;SG;2016-L-SG-01-CONTROL DE ASEO SEMANAL;2016;N.A;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
7.0;SG;2016-L-SG-02-CONTROL DE MANTENIMIENTO DE LA PISCINA;2016;N.A;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
8.0;SG;2016-L-SG-03-EVALUACIÓN DEL SERVICIO DE ASEO Y MANTENIMIENTO;2016;N.A;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
9.0;SG;2016-L-SG-04-REPORTE DE  DAÑOS;2016;N.A;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
10.0;SG;2016-N.A-SG - CORRESPONDENCIA ENVIADA;2016;5 AÑOS;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
11.0;SG;2016-N.A-SG - CIRCULARES;2016;5 AÑOS;entryDate;startDate;finalDate;folios;quantity;located;mail;notes;fileName;fileType;filedir
