1.0;2016;2 AÑOS;F-GC-01 SOLICITUD Y ENTREGA DE SUMINISTROS;FIS.;;VIGENTE;"";N.A;GC;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
2.0;2016;2 AÑOS;F-GC-02 COMPARATIVO DE OFERTAS;FIS.;;VIGENTE;"";N.A;GC;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
3.0;2016;2 AÑOS;F-GC-03 ORDEN DE COMPRA;FIS.;;VIGENTE;"";N.A;GC;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
4.0;2016;2 AÑOS;F-GC-04 DEVOLUCIÓN DE ARTÍCULOS;FIS;;VIGENTE;"";N.A;GC;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
5.0;2016;2 AÑOS;F-GC-05 RELACIÓN DE FACTURAS POR PAGAR;FIS;;VIGENTE;"";N.A;GC;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
6.0;2016;VIGENCIA DEL PROVEEDOR;F-GC-06 INSCRIPCIÓN DE PROVEEDORES;FIS;;VIGENTE;"";N.A;GC;"";RESTRINGIDO;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
7.0;2016;VIGENCIA DEL PROVEEDOR;F-GC-07 EVALUACIÓN Y SELECCIÓN DE PROVEEDORES;FIS;;VIGENTE;"";N.A;GC;"";RESTRINGIDO;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
8.0;2016;PERMANENTE;F-GC-08 LISTADO DE PROVEEDORES;FIS.;;VIGENTE;"";N.A;GC;"";RESTRINGIDO;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
9.0;2016;1 AÑO;F-GC-09 REEVALUACIÓN DE PROVEEDORES;FIS.;;VIGENTE;"";2 AÑOS;GC;"";RESTRINGIDO;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
10.0;2016;1 AÑO;F-GC-13 SOLICITUD DE COMPRAS;FIS.;;VIGENTE;"";2 AÑOS;GC;"";RESTRINGIDO;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
11.0;2016;1 AÑO;F-GF-03* KÁRDEX DE ALMACÉN;MAG;;VIGENTE;"";2 AÑOS;GC;"";RESTRINGIDO;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
12.0;2016;1 AÑO;F-GF-08* GC - REQUISICIÓN;FIS.;;VIGENTE;"";2 AÑOS;GC;"";RESTRINGIDO;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
13.0;2016;5 AÑOS;F-GF-09* LISTADO DE INVENTARIO DE ACTIVOS Y RELACIÓN DE NOVEDADES;FIS.;;VIGENTE;"";N.A;GC;"";RESTRINGIDO;DD/MM/2012;DD/MM/2012;CARPETAS(X);"";""
14.0;2016;1 AÑO;L-GC-01 EVALUACIÓN DEL SERVICIO DE COMPRAS Y SUMINISTROS;FIS;;VIGENTE;"";N.A;GC;"";RESTRINGIDO;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
15.0;2016;VIGENCIA DEL PROVEEDOR;N.A REGISTROS SOPORTES DE INSCRIPCIÓN Y EVALUACIÓN DE PROVEEDORES;FIS;;VIGENTE;"";N.A;GC;"";RESTRINGIDO;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
16.0;2016;2 AÑOS;N.A GC - CORRESPONDENCIA ENVIADA;FIS.;;VIGENTE;"";5 AÑOS;GC;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
17.0;2016;2 AÑOS;N.A GC - CIRCULARES;FIS.;;VIGENTE;"";5 AÑOS;GC;"";LIBRE;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
