1.0;2016;VIGENCIA DEL LISTADO;F-GQ-01 ELABORACIÓN, MODIFICACIÓN O ELIMINACIÓN DE DOCUMENTOS DEL SGC;MAG;;VIGENTE;"";N.A;GQ;"";LIBRE;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
2.0;2016;VIGENCIA DEL LISTADO;F-GQ-03 LISTADO MAESTRO DE DOCUMENTOS;FIS.;;VIGENTE;"";N.A;GQ;"";LIBRE;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
3.0;2016;VIGENCIA DEL LISTADO;F-GQ-04 LISTADO MAESTRO DE REGISTROS;FIS.;;VIGENTE;"";N.A;GQ;"";LIBRE;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
4.0;2016;2 AÑOS;F-GQ-05 PLAN DE AUDITORÍA INTERNA;FIS;;VIGENTE;"";5 AÑOS;GQ;"";LIBRE;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
5.0;2016;1 AÑO;F-GQ-06 ACTA DE APERTURA Y CIERRE DE AUDITORÍA INTERNA;FIS;;VIGENTE;"";5 AÑOS;GQ;"";LIBRE;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
6.0;2016;2 AÑOS;F-GQ-07 LISTA DE CHEQUEO;FIS.;;VIGENTE;"";N.A;GQ;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
7.0;2016;1 AÑO;F-GQ-08 EVALUACIÓN DE GESTIÓN DE LA AUDITORÍA;FIS;;VIGENTE;"";5 AÑOS;GQ;"";RESTRINGIDO;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
8.0;2016;2 AÑOS;F-GQ-09 INFORME DE AUDITORÍA INTERNA;FIS;;VIGENTE;"";5 AÑOS;GQ;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
9.0;2016;1 AÑO;F-GQ-10 CONTROL DEL SERVICIO NO CONFORME;FIS.;;VIGENTE;"";5 AÑOS;GQ;"";RESTRINGIDO;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
10.0;2016;5 AÑOS;F-GQ-11 IMPLEMENTACIÓN DE ACCIONES CORRECTIVAS, PREVENTIVAS O DE MEJORA;FIS;;VIGENTE;"";N.A;GQ;"";RESTRINGIDO;DD/MM/2012;DD/MM/2012;CARPETAS(X);"";""
11.0;2016;2 AÑOS;F-GQ-12 QUEJAS, SUGERENCIAS Y FELICITACIONES;FIS.;;VIGENTE;"";N.A;GQ;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
12.0;2016;2 AÑOS;F-GQ-13 SEGUIMIENTO Y CONTROL DE QUEJAS, SUGERENCIAS Y FELICITACIONES;Fisico y/o MAG;;VIGENTE;"";N.A;GQ;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
13.0;2016;5 AÑOS;F-GQ-14 COMPORTAMIENTO DE LOS INDICADORES DE GESTIÓN;FIS.;;VIGENTE;"";N.A;GQ;"";RESTRINGIDO;DD/MM/2012;DD/MM/2012;CARPETAS(X);"";""
14.0;2016;1 AÑO;F-GQ-15 ENCUESTA DE SATISFACCIÓN DE PADRES DE FAMILIA Y ESTUDIANTES;FIS.;;VIGENTE;"";N.A;GQ;"";RESTRINGIDO;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
15.0;2016;VIGENCIA DE LA MATRIZ;F-GQ-16 MATRIZ DE POSIBLES SERVICIOS NO CONFORMES;FIS.;;VIGENTE;"";N.A;GQ;"";LIBRE;DD/MM/2016;DD/MM/2016;CARPETAS(X);"";""
16.0;2016;2 AÑOS;F-GQ-17 PROGRAMA DE AUDITORIA;FIS;;VIGENTE;"";5 AÑOS;GQ;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
17.0;2016;2 AÑOS;N.A INFORME DE RESULTADOS DE ENCUESTAS DE SATISFACCIÓN;FIS.;;VIGENTE;"";5 AÑOS;GQ;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
18.0;2016;5 AÑOS;N.A ACTA DE REUNIÓN DEL COMITÉ DE LA CALIDAD;FIS;;VIGENTE;"";N.A;GQ;"";RESTRINGIDO;DD/MM/2012;DD/MM/2012;CARPETAS(X);"";""
19.0;2016;2 AÑOS;N.A GQ - CORRESPONDENCIA ENVIADA;FIS.;;VIGENTE;"";5 AÑOS;GQ;"";RESTRINGIDO;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
20.0;2016;2 AÑOS;N.A GQ - CIRCULARES;FIS.;;VIGENTE;"";5 AÑOS;GQ;"";LIBRE;DD/MM/2015;DD/MM/2015;CARPETAS(X);"";""
